x GParticleFilter_Sgmpositive_mean GParticleFilter_Sgmpositive_std GParticleFilter_Sgmpositive_se GParticleFilter_Sgmnegative_mean GParticleFilter_Sgmnegative_std GParticleFilter_Sgmnegative_se GParticleFilter_Sshpositive_mean GParticleFilter_Sshpositive_std GParticleFilter_Sshpositive_se GParticleFilter_Sshnegative_mean GParticleFilter_Sshnegative_std GParticleFilter_Sshnegative_se
0 0.33885172798247243 0.031365655724784676 0.007013573835947397 0.36850734173835975 0.026231737884876354 0.005865594907854008 0.1891669846750607 0.0161121651115657 0.0036027896454161384 0.18499682169862988 0.017641954988017326 0.003944861060919822
0.1 0.3325657176299722 0.019228755660606247 0.004299680477984944 0.386525832158559 0.018564173138501186 0.0041510753083764266 0.19719839036683262 0.013286896714554089 0.002971040426376156 0.1906279322195229 0.011582850667553806 0.0025900041465879127
0.2 0.3221696207478356 0.018730888320563428 0.004188353956373669 0.42993528005768855 0.023565753273791356 0.005269462626118568 0.21631539211061965 0.012098435441353604 0.002705292406825933 0.21118685076735236 0.01168380306332808 0.0026125777885321866
0.3 0.31650628227857835 0.018540125634761595 0.004145698123071336 0.4910992663560311 0.024216931162029286 0.005415070428473045 0.2473332023795743 0.00822673517833431 0.0018395539091644372 0.24277025285498754 0.012919298632418634 0.002888842996370813
0.4 0.31642835583273843 0.01805968315234874 0.004038267918075948 0.5824878540833676 0.030828333389442443 0.006893424909181979 0.29376057947521045 0.013743632375156642 0.003073169624861714 0.2875540096484952 0.018069590563657114 0.004040483282592605
0.5 0.3200248315111625 0.021976342053860377 0.0049140594729219144 0.6982516671207063 0.03039950466656518 0.006797535891676181 0.3556182190430913 0.009243343132437718 0.002066874358348658 0.3446995422170537 0.014432133618115323 0.003227123183046585
0.6 0.32951767402831933 0.0285823419685096 0.006391205959773261 0.8493149917899678 0.04110754845782426 0.00919192727400617 0.4217869582731191 0.01861378358910162 0.004162168542370124 0.4086542830320484 0.016677829973153754 0.0037292761537155283
0.7 0.3608521619911264 0.025189522297451847 0.005632548417784901 1.063916581792245 0.05412197656567215 0.012102041867749354 0.5060958140010448 0.024119584905967818 0.005393303143882191 0.484485997597044 0.017562263729473785 0.003927041553788236
0.8 0.3869360452408898 0.025351445116324724 0.005668755460795714 1.3566108393787535 0.09120211279110177 0.020393412389250663 0.5861153436307334 0.035361698067724254 0.007907116067925438 0.568214235991257 0.025400586036786754 0.005679743704658715
0.9 0.42223477904465667 0.06938320838053336 0.015514557043590567 1.7973625832183129 0.1712094130771896 0.038283588602843734 0.7046252517694963 0.06178003853091018 0.01381443658076714 0.664206311920781 0.032184889056982004 0.007196759977970086
1 0.504084451125825 0.06206453842883071 0.014238581630987878 2.331292582306908 0.3326759233903171 0.07438859791782614 0.8346025696082655 0.05083967110397674 0.011663420456056816 0.7514477323898506 0.04747450058795579 0.010615621051252288
