x GNassarNatN_Sgmpositive_mean GNassarNatN_Sgmpositive_std GNassarNatN_Sgmpositive_se GNassarNatN_Sgmnegative_mean GNassarNatN_Sgmnegative_std GNassarNatN_Sgmnegative_se GNassarNatN_Sshpositive_mean GNassarNatN_Sshpositive_std GNassarNatN_Sshpositive_se GNassarNatN_Sshnegative_mean GNassarNatN_Sshnegative_std GNassarNatN_Sshnegative_se
0 0.3460973538995224 0.03293109149182681 0.00736361591489897 0.36762194383418006 0.02013393269218664 0.004745613446199565 0.2023397755759179 0.019147970192045668 0.004281616298055382 0.19218584987531337 0.011342812210405739 0.0026735264772344905
0.1 0.3318785183781082 0.01606375655312151 0.00359196516267874 0.3957820400747491 0.0166621837378359 0.0037257775491392605 0.20543894097974005 0.009367753666013666 0.002094693399367942 0.19801746902002043 0.006950704226725498 0.0015542247142453322
0.2 0.32155178187450173 0.012272650708387933 0.0027442481248066367 0.4399519095152418 0.020404326678559 0.004562546148837042 0.22256545730575664 0.007752025688672074 0.0017334056403195378 0.2153010797736435 0.008042201276174834 0.0017982908742262486
0.3 0.3190445643846397 0.011504949494361308 0.0025725849147093718 0.49616883109928034 0.022071795425257616 0.004935403495634491 0.2573749838696803 0.009001648101274164 0.002012829706398094 0.24545302274890984 0.009368797495525126 0.0020949268067423964
0.4 0.31510221351567713 0.014490534401743187 0.003240181995259701 0.5801666972193829 0.025884930809666844 0.005788046488329373 0.2989474993441043 0.008326318579764498 0.001861821434667292 0.28608816148712346 0.01214385006221741 0.0027154474247683175
0.5 0.31929017290826656 0.024871000752828762 0.0055613248351773555 0.6963537156271427 0.03147241596216742 0.007037446150755579 0.3607436967104352 0.012348125828596375 0.002761124874746241 0.3428023533407362 0.01296445668952166 0.0028989406449122313
0.6 0.33813528032389667 0.026760261281010125 0.005983776331999424 0.8219710191102803 0.04592931938556832 0.010270108030642962 0.4270792960566648 0.011854285854400307 0.002650698899515326 0.39611323104132823 0.017449581173939972 0.003901844968383036
0.7 0.3607057149330058 0.03083967612490579 0.006895961221936664 1.0383409951282656 0.05740752264642323 0.012836712305726096 0.5026825329714806 0.020300606962472 0.004539353715259291 0.47429540119343117 0.019461828148154836 0.004351797070569306
0.8 0.3808231967472863 0.04601015976892659 0.010288184489894587 1.3048415862535445 0.07296919015728527 0.016316406945479842 0.5900996943516601 0.03516379453643869 0.007862863493031261 0.5561740251160072 0.019594790711041653 0.004381528403477057
0.9 0.43384659149305504 0.05734394942584769 0.013155604240567225 1.683976344936454 0.15615828942056942 0.03491805503944795 0.7083776453231143 0.056390580151250806 0.012936886328785936 0.6422726104572429 0.031207284526959176 0.006978160959545808
1 0.47080841515043376 0.07556468774365811 0.01733572829341117 2.2613933735971146 0.23229086033291707 0.0519418154256312 0.8177738018592001 0.0491766090975982 0.011281887865391235 0.746722813724438 0.03690121717645302 0.00825136300590318
