x GParticleFilter_Sgm_mean GParticleFilter_Sgm_std GParticleFilter_Sgm_se GParticleFilter_Ssh_mean GParticleFilter_Ssh_std GParticleFilter_Ssh_se
0.025 0.9886976957662634 0.5272540287608445 0.1992832911225845 1.6205415784694635 0.15298133083521373 0.0578215080893818
0.05 1.0368755181745555 0.1892279229398588 0.0669021737503098 1.3212080647632116 0.0504298050067424 0.017829628547091428
0.075 1.0216967904029792 0.14501943030475137 0.043725003421086865 1.1317266482026793 0.034101925869157695 0.010282117521500957
0.1 1.026022436285191 0.09180439638543576 0.0324577556134397 1.017548374447648 0.029112494629002967 0.01029282118471247
0.125 0.9830427025638906 0.04913136431125511 0.01856991022012789 0.9084199153255247 0.022893457335553473 0.008652913537191696
0.15 1.0136202941258066 0.05453817428997652 0.019282156436988107 0.8301543844563526 0.016227420076117483 0.005737259388492696
0.175 0.978917843125664 0.04917794478672818 0.014196449830405035 0.7521830667070094 0.011981738584515872 0.0034588299985649825
0.2 1.0370078600780313 0.01849342314871412 0.008270510259438594 0.7002336206282358 0.005769533461210742 0.0025802138035453726
0.225 0.9979448523055018 0.05242327953638707 0.02344440332936703 0.6440860613321748 0.017922256233486863 0.008015076649649193
0.25 1.0069990021645705 0.023937850682631556 0.007217533545621977 0.6032492037137114 0.011283338698471779 0.0034020546223025396
0.275 0.9836070329464045 0.038311700218205944 0.012770566739401981 0.5603859945120073 0.012915840858970223 0.0043052802863234076
0.3 0.9877861781190538 0.025508580917181098 0.0065862872718417806 0.5212182894601247 0.006412266855815639 0.0016556401829341176
0.325 1.011521139003993 0.015441418430176624 0.003986957094792956 0.48823861518445905 0.0060003912144363 0.0015492943496160725
0.35 1.0055138125509555 0.014700538937997266 0.003287140437124445 0.45771667489757845 0.004056944679140172 0.0009071604083513497
0.375 NaN NaN NaN NaN NaN NaN
0.4 NaN NaN NaN NaN NaN NaN
