x GNassarNatN_Sgm_mean GNassarNatN_Sgm_std GNassarNatN_Sgm_se GNassarNatN_Ssh_mean GNassarNatN_Ssh_std GNassarNatN_Ssh_se
0.025 1.0361581946893008 0.2735885741285063 0.12235252992371606 1.646612558235126 0.07135624790578755 0.0319114841873336
0.05 0.982420320462821 0.1441460120016106 0.045582971355505625 1.3089394658337794 0.04778625013869122 0.015111339127680135
0.075 1.009806459012272 0.09140456348507872 0.03731575678337903 1.1251012082749854 0.03394624112398954 0.013858494906542815
0.1 1.0146327295279767 0.07784116543716627 0.027521007968042084 1.0230086594475778 0.023342445540350962 0.008252800765529924
0.125 0.9938420149813953 0.09375023049885167 0.02964642595421549 0.9112354269492571 0.022969879409661848 0.00726371365139353
0.15 0.9782347593449675 0.07380810669219638 0.030132033379463585 0.8225411375246795 0.019815062102250303 0.008089465228678967
0.175 0.9644238200692633 0.045115255740919145 0.01302365252328924 0.748594956631005 0.014167673170204741 0.004089854959304173
0.2 1.0133858507009623 0.04496030200945657 0.015895867217540948 0.7014681887840479 0.015530750674989085 0.005490949559601166
0.225 1.0199740276477323 0.056953070990138355 0.020135951353262835 0.6524363788881712 0.015264222383957193 0.00539671757861781
0.25 1.0060603887330433 0.0371735277463112 0.011208240333489092 0.5990659382071268 0.009443909707374501 0.0028474459139414803
0.275 1.013303417618484 0.033221152857815794 0.010505450952730979 0.5588715595069901 0.011212909850995444 0.003545833432728484
0.3 0.9836654249218159 0.03294344915700961 0.009136868855864545 0.5233831051162345 0.00778021225429743 0.0021578426320663585
0.325 1.0087073736872882 0.025307306677743734 0.006534318486684349 0.48754306709459855 0.005940301463599692 0.0015337792426648766
0.35 1.0047009789426151 0.019889916616494533 0.004447520562128439 0.45821987201265885 0.005299354166426001 0.001184971615297527
0.375 NaN NaN NaN NaN NaN NaN
0.4 NaN NaN NaN NaN NaN NaN
