sigma changeprobability pf20_meanerror
5 0.1 0.005965633318720909
2 0.1 0.010140439630943132
1 0.1 0.007262369969773919
0.5 0.1 0.003171469910639227
0.1 0.1 9083838290967032e-20
5 0.05 0.008834806187088096
2 0.05 0.011048170624598896
1 0.05 0.007821655499882646
0.5 0.05 0.0030266674200944144
0.1 0.05 8842521442612404e-20
5 0.01 0.015629307793266656
2 0.01 0.016916755913677223
1 0.01 0.009707344555514127
0.5 0.01 0.003010129970729067
0.1 0.01 8833415434515962e-20
5 0.005 0.01989389769787031
2 0.005 0.01843475236118508
1 0.005 0.010708932471917176
0.5 0.005 0.0025515297336925705
0.1 0.005 7344816819467265e-20
5 0.001 0.02495739705815131
2 0.001 0.02444825774920377
1 0.001 0.010176392852735682
0.5 0.001 0.0023477859012420747
0.1 0.001 52618608386995665e-21
5 1e-4 0.033234552759563864
2 1e-4 0.024378766646025927
1 1e-4 0.009012409902821858
0.5 1e-4 0.0016753588663316191
0.1 1e-4 28508119049563456e-21
