stochasticity changeprobability tsorOriginal1_meanerror
5 0.1 0.00258801553200589
2 0.1 0.008938469274988987
1 0.1 0.019815650920824865
0.25 0.1 0.05881706641810995
0.14 0.1 0.07219747370447492
0.1 0.1 0.07573726813221332
0.01 0.1 0.03041538656918661
5 0.05 0.0036888074214762936
2 0.05 0.011635343423274457
1 0.05 0.02448284382982898
0.25 0.05 0.06797935504865489
0.14 0.05 0.08071551691355043
0.1 0.05 0.08263406526999172
0.01 0.05 0.03282249766624892
5 0.01 0.006442468889128189
2 0.01 0.018366839763194417
1 0.01 0.035953300516739645
0.25 0.01 0.07931131593553499
0.14 0.01 0.0873444586244385
0.1 0.01 0.08839240308021729
0.01 0.01 0.03441652842308632
5 0.005 0.007612895378683373
2 0.005 0.021262552289822857
1 0.005 0.03946544705091811
0.25 0.005 0.08324022856499627
0.14 0.005 0.09322390282346986
0.1 0.005 0.08978253668648287
0.01 0.005 0.035572373623256354
5 0.001 0.009973721225435331
2 0.001 0.02457150892733475
1 0.001 0.04398633215930326
0.25 0.001 0.08267958622865484
0.14 0.001 0.0846090176156955
0.1 0.001 0.08352181658388434
0.01 0.001 0.036950842541823146
5 1e-4 0.010193971184198543
2 1e-4 0.02421351143576308
1 1e-4 0.04548023334806121
0.25 1e-4 0.08387100084473777
0.14 1e-4 0.08294438147369304
0.1 1e-4 0.07780066166957644
0.01 1e-4 0.03665726980794025
