stochasticity changeprobability pf1_meanerror
5 0.1 0.0026260439093357263
2 0.1 0.008982391692643199
1 0.1 0.019877051333017662
0.25 0.1 0.05883010852210323
0.14 0.1 0.07245456975152582
0.1 0.1 0.07619814647237694
0.01 0.1 0.029935446972490933
5 0.05 0.0036762979781623482
2 0.05 0.011539594295538615
1 0.05 0.024605788381233278
0.25 0.05 0.06765587694567048
0.14 0.05 0.08017288150661879
0.1 0.05 0.08379001571596568
0.01 0.05 0.033229190975292845
5 0.01 0.006387573924109798
2 0.01 0.018321586226015273
1 0.01 0.035645781694538095
0.25 0.01 0.07940494768320086
0.14 0.01 0.08921332121510944
0.1 0.01 0.09081718541314324
0.01 0.01 0.033690422629881485
5 0.005 0.007774533429016751
2 0.005 0.021298823318837652
1 0.005 0.038598894522798355
0.25 0.005 0.0858263774021373
0.14 0.005 0.08900937457611596
0.1 0.005 0.08835283426696161
0.01 0.005 0.038104830366033966
5 0.001 0.010024447164213978
2 0.001 0.0244677201457536
1 0.001 0.04427337356274505
0.25 0.001 0.08285319765691573
0.14 0.001 0.08297310446376037
0.1 0.001 0.08676139829084517
0.01 0.001 0.036539151115722465
5 1e-4 0.010045437593591743
2 1e-4 0.024240908911402723
1 1e-4 0.04283357447356018
0.25 1e-4 0.0802081342286671
0.14 1e-4 0.0841264506198435
0.1 1e-4 0.07855365224125221
0.01 1e-4 0.03522608686001631
