stochasticity changeprobability tsorOriginal20_meanerror
5 0.1 31186705832519923e-22
2 0.1 6828988494175792e-21
1 0.1 7430774481342883e-21
0.25 0.1 4790118344172312e-21
0.14 0.1 2671879786239617e-21
0.1 0.1 35457370893832163e-22
0.01 0.1 2749418765095324e-21
5 0.05 21584049104465125e-21
2 0.05 32175257798951196e-21
1 0.05 3578677226177135e-20
0.25 0.05 11637818652487919e-21
0.14 0.05 9409937779022992e-21
0.1 0.05 7640946693837636e-21
0.01 0.05 7531256165385636e-21
5 0.01 7953596695028757e-20
2 0.01 8160019444058975e-20
1 0.01 5559394214593727e-20
0.25 0.01 18108759600617835e-21
0.14 0.01 13859372306031237e-21
0.1 0.01 12864855020142812e-21
0.01 0.01 4419517210343428e-21
5 0.005 764378363592895e-19
2 0.005 769933022125354e-19
1 0.005 56566026296771266e-21
0.25 0.005 9761662680973088e-21
0.14 0.005 11065134585302311e-21
0.1 0.005 74251481397939745e-22
0.01 0.005 13313897885132604e-21
5 0.001 3079971660896984e-20
2 0.001 24307185075654776e-21
1 0.001 1652440845386488e-20
0.25 0.001 22015595014992367e-22
0.14 0.001 3881945244804154e-21
0.1 0.001 7906291211672196e-21
0.01 0.001 2043369734632905e-20
5 1e-4 2668685104391128e-21
2 1e-4 3653571696077577e-21
1 1e-4 28105144458637384e-22
0.25 1e-4 12927627159962235e-22
0.14 1e-4 60705010090880045e-22
0.1 1e-4 6819580854058893e-21
0.01 1e-4 49491526850953575e-22
