sigma changeprobability gsorOriginal1_meanerror
5 0.1 0.08412057535998985
2 0.1 0.15254768653516715
1 0.1 0.12955774130447123
0.5 0.1 0.05130503506434218
0.1 0.1 0.0012436251137784623
5 0.05 0.11768285891788122
2 0.05 0.1805086141756953
1 0.05 0.13812925306273152
0.5 0.05 0.04813388092441204
0.1 0.05 0.0010475534963036671
5 0.01 0.18503623645497858
2 0.01 0.2429671379470883
1 0.01 0.14600302059265202
0.5 0.01 0.036157379183983956
0.1 0.01 0.0006665541749191049
5 0.005 0.2362839678076173
2 0.005 0.2764933274302303
1 0.005 0.136921301567326
0.5 0.005 0.0314590712232872
0.1 0.005 0.0005384487742299705
5 0.001 0.30360498433159994
2 0.001 0.3152768022822173
1 0.001 0.13818676989234158
0.5 0.001 0.023279879556919042
0.1 0.001 0.00032978995045671337
5 1e-4 0.357703988594254
2 1e-4 0.3208654200591167
1 1e-4 0.11053244865507429
0.5 1e-4 0.015118364590350705
0.1 1e-4 0.00017140692608391662
