stochasticity changeprobability pf20_meanerror
5 0.1 0.0002093469132692545
2 0.1 0.0007022203840377217
1 0.1 0.001390467803456405
0.25 0.1 0.003477014884764401
0.14 0.1 0.003865198289719235
0.1 0.1 0.0038572284985918526
0.01 0.1 0.0013097276491024316
5 0.05 0.00028857340090262043
2 0.05 0.0008527959748348968
1 0.05 0.0017903819995843256
0.25 0.05 0.0038752241436415813
0.14 0.05 0.004299916131822387
0.1 0.05 0.003979394336159597
0.01 0.05 0.0012072277963606683
5 0.01 0.0005236595080268906
2 0.01 0.001441738615385102
1 0.01 0.0026901474197867474
0.25 0.01 0.004465182637513967
0.14 0.01 0.004416582251879714
0.1 0.01 0.004283188888993466
0.01 0.01 0.001108954975837165
5 0.005 0.0007049959423432103
2 0.005 0.001787459590275051
1 0.005 0.002973939500848774
0.25 0.005 0.0048473258758935205
0.14 0.005 0.00465023721652706
0.1 0.005 0.004566882758379203
0.01 0.005 0.0012464337761502195
5 0.001 0.0009533588799008098
2 0.001 0.002239667188906032
1 0.001 0.00336611155547186
0.25 0.001 0.004217549919776458
0.14 0.001 0.004139582576855129
0.1 0.001 0.003965024935553462
0.01 0.001 0.0012419264327683131
5 1e-4 0.0009625104707996879
2 1e-4 0.0022225692963637835
1 1e-4 0.0032749904988393585
0.25 1e-4 0.003668139054463883
0.14 1e-4 0.0031593956034900446
0.1 1e-4 0.0029458737392948488
0.01 1e-4 0.0010941741535269714
