sigma changeprobability gsor10_meanerror
5 0.1 0.008225313618486552
2 0.1 0.0046150872484572725
1 0.1 0.0008760958550347864
0.5 0.1 0.00010471472050511965
0.1 0.1 4482486538988015e-22
5 0.05 0.061317180481681
2 0.05 0.008325808541525537
1 0.05 0.0013619536121340925
0.5 0.05 0.000183056142163171
0.1 0.05 8956230174821112e-22
5 0.01 0.41763178527761347
2 0.01 0.023298751278147012
1 0.01 0.0023417900773410744
0.5 0.01 0.00022797345675983766
0.1 0.01 7081210459746563e-22
5 0.005 0.5041042673937148
2 0.005 0.02707428362806477
1 0.005 0.0020957044686561108
0.5 0.005 0.00018284893749478948
0.1 0.005 8594807143906839e-22
5 0.001 0.5073333397401272
2 0.001 0.1017841786720711
1 0.001 0.0009826709032810018
0.5 0.001 0.00010023374307776677
0.1 0.001 6639659542075348e-22
5 1e-4 0.2693033926017645
2 1e-4 0.004208975143196413
1 1e-4 0.00029966409904906306
0.5 1e-4 26899409903559162e-21
0.1 1e-4 14605185418562326e-23
