sigma changeprobability pf10_meanerror
5 0.1 0.012699267385665292
2 0.1 0.019815031974094732
1 0.1 0.014738417223445266
0.5 0.1 0.006091581236832691
0.1 0.1 0.00017885762476327945
5 0.05 0.017826970978319756
2 0.05 0.0238801998973191
1 0.05 0.015715672905872335
0.5 0.05 0.0062111153940696134
0.1 0.05 0.00016995866895631656
5 0.01 0.028676274998762685
2 0.01 0.03389231614627028
1 0.01 0.019140312732074283
0.5 0.01 0.00564558074394908
0.1 0.01 0.00014470556630659566
5 0.005 0.0351672372449543
2 0.005 0.03898160955502433
1 0.005 0.021070753943052738
0.5 0.005 0.005531594946308191
0.1 0.005 0.00012275871047148594
5 0.001 0.04980007031866643
2 0.001 0.04768047749540459
1 0.001 0.020530540429443397
0.5 0.001 0.004261911702077946
0.1 0.001 8555689459522833e-20
5 1e-4 0.06262376294428906
2 1e-4 0.04998712287685482
1 1e-4 0.01699765053200849
0.5 1e-4 0.0027683223154130587
0.1 1e-4 5178985323118197e-20
