sigma changeprobability gsor20_meanerror
5 0.1 0.0015501135513041886
2 0.1 0.0007842005000173735
1 0.1 0.00024979389494195203
0.5 0.1 20848103872497803e-21
0.1 0.1 5997220661572988e-23
5 0.05 0.008986342741366005
2 0.05 0.0016891947946267583
1 0.05 0.00024451711719589153
0.5 0.05 28113774539276215e-21
0.1 0.05 15041054949064755e-23
5 0.01 0.318590667452907
2 0.01 0.008062911731034822
1 0.01 0.0008222868698533198
0.5 0.01 57172518601312367e-21
0.1 0.01 -28484110784236447e-24
5 0.005 0.3327351767029758
2 0.005 0.007627831078863501
1 0.005 0.0007949049751505566
0.5 0.005 6987020580884358e-20
0.1 0.005 887277305877893e-22
5 0.001 0.525525174792997
2 0.001 0.00541907017847678
1 0.001 0.00042621191317705927
0.5 0.001 43575284894094984e-21
0.1 0.001 2838869631200129e-22
5 1e-4 0.19752723427591462
2 1e-4 0.0010601417808517588
1 1e-4 0.0001751306259245261
0.5 1e-4 14710169676259181e-21
0.1 1e-4 6874801731021384e-23
