stochasticity changeprobability tsor10_meanerror
5 0.1 0.00015570673939438104
2 0.1 0.00028897585173050244
1 0.1 0.0002960003325159638
0.25 0.1 0.0001396370009126291
0.14 0.1 8669762019003491e-20
0.1 0.1 7671359066037386e-20
0.01 0.1 20137849500525412e-21
5 0.05 0.0008098713118762021
2 0.05 0.0006345773131836152
1 0.05 0.0004966451244538331
0.25 0.05 0.0001714419581666793
0.14 0.05 0.00012890012692517994
0.1 0.05 0.00011061002529746955
0.01 0.05 1713273378766908e-20
5 0.01 0.010937795304848235
2 0.01 0.0017782647450266219
1 0.01 0.0007912303049222615
0.25 0.01 0.0001490240157110724
0.14 0.01 0.00010157888171944893
0.1 0.01 8347653941766925e-20
0.01 0.01 1902858722924953e-20
5 0.005 0.008982827773004918
2 0.005 0.010454224320610385
1 0.005 0.0009997570352497862
0.25 0.005 0.00010252459781164361
0.14 0.005 6972341833727178e-20
0.1 0.005 6294949519623609e-20
0.01 0.005 2175187483500129e-20
5 0.001 0.01782754419338002
2 0.001 0.009693877788394291
1 0.001 0.006296650387350631
0.25 0.001 50963163901138545e-21
0.14 0.001 3808622946529713e-20
0.1 0.001 34506418122819474e-21
0.01 0.001 63952431150082365e-22
5 1e-4 0.005522164089739408
2 1e-4 0.006269974494339569
1 1e-4 0.00010708586459174741
0.25 1e-4 14239285467354708e-21
0.14 1e-4 1617042756915199e-20
0.1 1e-4 30928359737678068e-22
0.01 1e-4 15872626274468455e-22
