stochasticity changeprobability tsor1_meanerror
5 0.1 0.004943091727905767
2 0.1 0.021589798875787117
1 0.1 0.057019590305190326
0.25 0.1 0.24379551679024314
0.14 0.1 0.34751801745745003
0.1 0.1 0.06450207805604785
0.01 0.1 0.014110477262711238
5 0.05 0.007675066984258204
2 0.05 0.030162570537546618
1 0.05 0.07362407916110503
0.25 0.05 0.27676975729115827
0.14 0.05 0.39518795442187477
0.1 0.05 0.452633570391162
0.01 0.05 0.021035486206640128
5 0.01 0.016547292088454055
2 0.01 0.05081926328914953
1 0.01 0.10784633073271119
0.25 0.01 0.32463090586590465
0.14 0.01 0.4375586800664268
0.1 0.01 0.4937871350703678
0.01 0.01 0.03376971686848852
5 0.005 0.02005550083924386
2 0.005 0.05770129870183878
1 0.005 0.11597359073393276
0.25 0.005 0.3389322511761956
0.14 0.005 0.4481354248115504
0.1 0.005 0.5029121408304769
0.01 0.005 0.04269094356042007
5 0.001 0.026775328975699734
2 0.001 0.06822052748402486
1 0.001 0.13031676773744838
0.25 0.001 0.35010585990827775
0.14 0.001 0.4651167744216587
0.1 0.001 0.5283171709967616
0.01 0.001 0.05451293673623132
5 1e-4 0.02841012755900292
2 1e-4 0.06940888486723695
1 1e-4 0.13387297041094234
0.25 1e-4 0.3428107674993467
0.14 1e-4 0.4559671453837388
0.1 1e-4 0.5200067848834561
0.01 1e-4 0.11667598570056119
