sigma changeprobability gsorOriginal10_meanerror
5 0.1 0.00251249966372713
2 0.1 0.001451338509726674
1 0.1 0.0005830059812187982
0.5 0.1 0.00035453565203608095
0.1 0.1 0.0347475674087857
5 0.05 0.006458061982911323
2 0.05 0.003965562313435089
1 0.05 0.0016618511949072767
0.5 0.05 0.0005735898220619873
0.1 0.05 0.023858486853702305
5 0.01 0.010846328169161645
2 0.01 0.008239847773047232
1 0.01 0.002260775262436135
0.5 0.01 0.0005348182321952936
0.1 0.01 0.008621186386931743
5 0.005 0.010755402799194846
2 0.005 0.007460731264293918
1 0.005 0.0021707393437512754
0.5 0.005 0.00044544542058800804
0.1 0.005 0.004982362533595256
5 0.001 0.010177956433491037
2 0.001 0.0053758808907270125
1 0.001 0.0012083229001256298
0.5 0.001 0.00022894966638720583
0.1 0.001 0.00111462285645291
5 1e-4 0.004777991948917981
2 1e-4 0.0014235271700018294
1 1e-4 0.00031670379785479676
0.5 1e-4 7280498059140819e-20
0.1 1e-4 0.00012493522551407715
