x bayesfilter_mean bayesfilter_std bayesfilter_se leaky_mean leaky_std leaky_se pf1_mean pf1_std pf1_se pf10_mean pf10_std pf10_se pf20_mean pf20_std pf20_se smileOriginal_mean smileOriginal_std smileOriginal_se smileextended_mean smileextended_std smileextended_se tsor1_mean tsor1_std tsor1_se tsor10_mean tsor10_std tsor10_se tsor20_mean tsor20_std tsor20_se tsorOriginal1_mean tsorOriginal1_std tsorOriginal1_se tsorOriginal10_mean tsorOriginal10_std tsorOriginal10_se tsorOriginal20_mean tsorOriginal20_std tsorOriginal20_se
1 0.5888363338761724 0.4101515678296114 0.009561707727710396 0.7555107154398805 0.46100975202659994 0.01074734526026198 0.6742115423309907 0.5040086930733739 0.011749763242145944 0.6014522529182726 0.43961926290988435 0.010248676911463245 0.6015254958286974 0.4247163522715404 0.00990125101578746 0.3417713369854481 0.16024855548816755 0.0037358137126570243 0.6358812419473167 0.38665740666478826 0.009013997271416135 0.48406059050511685 0.23163101652400275 0.0053999259161556035 0.5851112391685542 0.4135759544872282 0.009641539153297938 0.5865036075039772 0.4121996655388873 0.00960945425175154 0.6736765110100864 0.5042070446158784 0.011754387336323625 0.5892754000812324 0.41041519535420423 0.009567853576067079 0.589173486536001 0.410377948063475 0.009566985244124606
2 0.30534906409064927 0.30136279608007094 0.007025556409235283 0.614186994902066 0.3736894990268654 0.008711681365786652 0.6041322157377701 0.49139638710320516 0.011455737343141434 0.391283466219421 0.4116164880368428 0.009595858856133689 0.3473905918509247 0.3582341144349596 0.008351375854657766 0.3382929248418666 0.15911379409045412 0.0037093594511676924 0.4793618664573839 0.3003385736333533 0.007001679100328487 0.4837424885252069 0.23127512578480983 0.005391629170517964 0.30486605449281795 0.3037519040840609 0.0070812527767634345 0.30499874971421403 0.30225050485925475 0.007046251226857935 0.6024441614783569 0.4933322947704783 0.011500868423342471 0.3052104628151178 0.30126841380897984 0.007023356111195156 0.3055153054935387 0.30151695735696515 0.007029150312533991
3 0.20240498403938242 0.2253365383917978 0.005253185138064487 0.5019450039277426 0.30589957647810717 0.007131320647612764 0.5618169817335303 0.4788300532892926 0.011162783175555777 0.3158666424097388 0.3696259711851902 0.008616949884517139 0.2628727290509505 0.30674767957252275 0.007151092152948414 0.342760589281848 0.15836950647240486 0.0036920081566040757 0.3740856674411114 0.24620510835591294 0.005739686183880407 0.4834016347660554 0.2308777909370738 0.005382366254118082 0.20243014858215458 0.22678668121954076 0.005286991767052126 0.2021150170830193 0.22561451803388782 0.005259665571885535 0.5585191138444549 0.4802433947940971 0.011195731869278672 0.20249453801705627 0.2252880120717937 0.005252053862396237 0.2025212327734866 0.22569430272796917 0.005261525562156906
4 0.14506208444391314 0.17399471336550978 0.004056272670543327 0.4103938835574935 0.2496308912090411 0.005819550158443638 0.5229585827846691 0.46922177080531213 0.010938788935174701 0.2617907052991478 0.33687925736699204 0.007853538182278656 0.20487873245397414 0.2665263283312335 0.006213427067287796 0.33946052080886135 0.15892869125926917 0.003705044219165221 0.29719626297663865 0.20483991506206084 0.00477535514287273 0.4830110141004603 0.230702619768692 0.005378282555198554 0.14519450562092273 0.17524597447584606 0.004085442845587144 0.14492704128607023 0.17433112736959216 0.004064115362452481 0.5225941764030245 0.4706704578749532 0.010972561626626598 0.14516492879079843 0.17451401242212 0.0040683788922234185 0.14500003723419835 0.17385088670540377 0.004052919694240776
5 0.11077779095301656 0.14192937074020406 0.00330874551614406 0.3359017673718064 0.2050493628042905 0.004780237918540336 0.4939366054391858 0.458688252051626 0.010693225013037155 0.22395272518448694 0.3100044339473308 0.007227015630792568 0.17103229256573474 0.2419962750616907 0.005641567251781803 0.3408068585503411 0.15744211663641522 0.0036703882695747372 0.24114719637195328 0.17350657243352133 0.004044892826388873 0.4828311618015432 0.23035643376122458 0.005370212052285832 0.11116401610279955 0.14316790056300582 0.0033376188915168513 0.11072935858464925 0.1421989785937945 0.0033150307816393705 0.4924544267552185 0.4627362016726133 0.010787593325164286 0.11114289116196194 0.14248149339564242 0.0033216169419174268 0.11071734788710863 0.14203616529743698 0.0033112351770968997
6 0.09000075705515281 0.11975913854098906 0.0027918993130047545 0.2761387025413546 0.16965661468753915 0.003955140223647613 0.4634855541110144 0.4484097986788732 0.010453607333253009 0.19669322988237256 0.28524331775397355 0.0066497691331000005 0.14694216438362737 0.21271090713826488 0.004958848591789772 0.3397710095217204 0.15782178108286382 0.003679239242620518 0.19941485325698996 0.1480802942397157 0.003452139659604383 0.48254260440201296 0.2301617002039612 0.005365672302823986 0.09074295551081848 0.12163941012043088 0.002835733370220432 0.09007994326597718 0.12026961122078801 0.0028037997687144506 0.46837368633265053 0.45461505835751825 0.010598268195420917 0.0900772544348858 0.11972425561070205 0.0027910861004993006 0.08999222639612096 0.11988842943877061 0.0027949134226008293
7 0.07454005380007284 0.09896758752631117 0.0023071937807057318 0.2267137151470892 0.14034044645851054 0.003271703527828835 0.4397598137265806 0.43879425103183856 0.010229443722884918 0.17189602293719 0.26216378286357245 0.006111724701668772 0.12488046443936908 0.18757623987773858 0.004372893639940743 0.33860282472229075 0.15614268379559676 0.003640095085273523 0.1662861815846222 0.12660226606707423 0.002951430546041656 0.4822612104491396 0.22994675459027747 0.00536066135736723 0.07532636725269463 0.10049648974988075 0.00234283649757593 0.07464965416391839 0.09925533275735901 0.00231390187599324 0.444852899839233 0.4448656739405663 0.010370984499266144 0.07464956475353082 0.09927188137012516 0.0023142876675175937 0.07456943207311034 0.09911275695935014 0.0023105780605636905
8 0.0645084425820887 0.09166664678144805 0.00213698972197417 0.18705646711653565 0.11791727460577564 0.002748960638611981 0.4164964507131773 0.42863386852766505 0.009992578584417355 0.1552346767726903 0.24325306760946594 0.005670866379125828 0.1099611579506158 0.1726164871156382 0.00402414260542212 0.33926863863696205 0.15690896253905892 0.003657959050591793 0.14088151848365255 0.1121974581217269 0.00261561672927129 0.48203804915261605 0.22971145933092793 0.00535517600834974 0.065660358911624 0.09389404602728071 0.002188916234639415 0.06480693806402996 0.09234070874371215 0.0021527038724957494 0.4255949878383211 0.43563998534755805 0.010155909524958444 0.06461278002844738 0.09185243114687079 0.0021413208423254845 0.06455690400167712 0.09174779795842837 0.0021388815685423825
9 0.05616194492727799 0.08228211129716792 0.0019182116104193433 0.1556504759973052 0.09883917867655066 0.0023042002339601748 0.40240792100676825 0.4244488671942606 0.00989501523777006 0.1385423249567631 0.22278388417301773 0.005193676079744805 0.09726371878907952 0.1588110498098979 0.003702301688735544 0.3400648413004089 0.15805788562542206 0.003684743458150091 0.12165201608785026 0.09800693031586981 0.0022847983440105494 0.48183912149841995 0.22955872707682862 0.005351615419316715 0.05724453003838846 0.08432520518072507 0.001965841482171929 0.05640162231926837 0.08277123871903422 0.001929614452237656 0.4071818668372338 0.42797219124481517 0.009977153153223332 0.05625797168302302 0.08234344797073158 0.0019196415289948327 0.05628646507690353 0.08254483851135913 0.0019243364701815654
10 0.04991980933371719 0.07521877249603172 0.0017535466755620962 0.12921445265007322 0.08252250046825635 0.0019238157118665648 0.38359197452734756 0.4145565377750967 0.009664399119068374 0.12307530371729161 0.20500951251070204 0.004779308903780811 0.08671936244262156 0.14384200281012208 0.0033533339811838894 0.3390648738985486 0.15494704693485942 0.0036122216572348495 0.10517368831872691 0.08566327433118695 0.001997035380086022 0.4816701876768464 0.22932391377896771 0.005346141306084364 0.05125089490287458 0.0783326223182496 0.0018261386738460067 0.050351508230208036 0.07654784672095158 0.0017845308781932472 0.38891594976819116 0.4191323995496986 0.009771074446734857 0.05013241810843382 0.0758416734987864 0.0017680681300652576 0.05004135273047217 0.07547011977583246 0.001759406239235904
