x gnassarJNOriginal_mean gnassarJNOriginal_std gnassarJNOriginal_se gnassarNatNOriginal_mean gnassarNatNOriginal_std gnassarNatNOriginal_se
1 0.017547328782100503 0.028425187605712138 0.00014450081697902693 0.01731751845217759 0.027814609367854112 0.00014139691295475342
2 0.00974043615363312 0.01678123816748835 8530823644007904e-20 0.008068170163215024 0.01300790041963293 661262913684715e-19
3 0.006729367606185353 0.01207219148565891 6136956971409448e-20 0.005070326599617404 0.00817731206465317 4156976166438333e-20
4 0.005139672817168374 0.009489611298583221 4824089833564094e-20 0.003634952216738118 0.00582375535619108 29605342224249216e-21
5 0.004134990831782249 0.007861104122219569 3996230328448752e-20 0.002821084713243776 0.0046919624230144525 23851818069416657e-21
6 0.003431095993237122 0.006657475818598662 3384360054715359e-20 0.002265852340772303 0.003767792339354478 19153754719094e-18
7 0.0029157639699364103 0.005687343810398944 289118875288658e-19 0.001888622077802964 0.003115931666376677 15839989437810094e-21
8 0.0025380802756225476 0.005087459564390227 2586234692974983e-20 0.0016211661848224332 0.002745364975824333 1395619573087718e-20
9 0.002238182772032439 0.00460547890839952 23412174937050345e-21 0.0014181784202479584 0.0023202719992935876 1179521501008872e-20
10 0.001985640433670845 0.004113175377344401 2090952610933147e-20 0.0012550738973540118 0.0023054512231843556 11719872877408585e-21
