x gnassarJNOriginal_mean gnassarJNOriginal_std gnassarJNOriginal_se gnassarNatNOriginal_mean gnassarNatNOriginal_std gnassarNatNOriginal_se
1 0.017868395377828125 0.029826428298707765 0.0004911405516770275 0.019174516306919916 0.031952282957740136 0.0005261461990031463
2 0.01052138274900166 0.019020757883882355 0.0003132076501700972 0.009313829917743417 0.016492442986332404 0.0002715748418043121
3 0.007656961936820053 0.014763885208569383 0.00024311133246038811 0.0059449150246801835 0.010627269063792008 0.0001749952337081255
4 0.006126839977174175 0.011903395342082726 0.00019600872409498515 0.00430239688271991 0.007494736924190949 0.0001234130077780989
5 0.005157735413665025 0.010314789860730932 0.00016984975646083258 0.003380339761413433 0.005811955670815779 9570328320573874e-20
6 0.0043224112709543926 0.008769388732084969 0.00014440221861674 0.00266629950538273 0.004574178931482249 7532128022096967e-20
7 0.003760501729486963 0.00769176011827387 0.0001266573144468678 0.0022038528512227126 0.00366736228891637 6038907239375855e-20
8 0.0034033804320172784 0.0071990255349070305 0.00011854363979962134 0.0018664058907080403 0.0031563942794721298 5197515479241339e-20
9 0.0031318145448223874 0.006761533930049478 0.00011133963045556201 0.0016512359318160232 0.002752385633541832 4532249671155655e-20
10 0.002837079105246141 0.00616020712392279 0.00010143780861013367 0.0014081474718469758 0.002357562848951844 388210987467661e-19
11 0.0025996843906481455 0.005655696187327558 9313021719338964e-20 0.0012614814369236553 0.0020596312288380936 3391517106413313e-20
12 0.0024232243979465332 0.00528676988642639 8705524686378384e-20 0.0011817206396254928 0.002416721847913675 3979524768259538e-20
13 0.0022794687628421074 0.005010366501471238 8250381651440632e-20 0.001056833985928706 0.001733261247791325 28540959611899824e-21
14 0.0021664521003903186 0.004823059309604428 7941949959166819e-20 0.0009602970548951628 0.0015406118308245679 2536867428220079e-20
15 0.002024988751137684 0.004509705163477516 7425961498672127e-20 0.0008869895889055305 0.001446326807450218 2381611834317922e-20
16 0.0019150549752717304 0.004346998045273109 7158037820394652e-20 0.0008227993123767988 0.0013124788518587426 21612094512646098e-21
17 0.0017909981812274792 0.004086052771591959 6728349074595928e-20 0.0007575544405689216 0.001166651553010809 19210811352340647e-21
18 0.0017105684576854288 0.00419235071906264 6903385897778501e-20 0.0007115090870187274 0.0010936864619345513 1800932270189066e-20
19 0.0016153387933293458 0.0037829467418675467 6229235801076915e-20 0.0006680101828725934 0.001027911981652641 16926239128879445e-21
20 0.001557153462087406 0.003956751342348472 6515433285097841e-20 0.00064852291778307 0.001026424829560641 1690175075596474e-20
21 0.001477355820092935 0.0035785009792135627 5892582670328911e-20 0.0006065849684441573 0.0009884175241096863 16275898784015823e-21
22 0.0014230389948921215 0.003492177243223191 5750436628260005e-20 0.0005796069442973336 0.0009205569396473828 15158464119826238e-21
23 0.0013735412414867976 0.00350228782229586 57670853376991436e-21 0.0005545018052673641 0.0008761745961315706 1442763679914367e-20
24 0.001308762787595945 0.003254507932065573 5359075532557812e-20 0.0005356575918690935 0.0008218484157046254 13533068064390015e-21
25 0.0012821042911301708 0.003718708733281593 612345749379999e-19 0.0005420301805478662 0.0014313795793961192 23569987973192868e-21
26 0.001220592403788219 0.003425881040223239 56412691698255023e-21 0.0005034657566161804 0.0009035186912168998 14877901705515295e-21
27 0.0011848405124329953 0.0032974333128404703 5429759139001038e-20 0.0004884022095671339 0.0009216080809547533 15175772867505384e-21
28 0.001143338350271643 0.0030651263547019584 5047228027880689e-20 0.0004789461574806345 0.0008054735666945418 13263429598265363e-21
29 0.0011052507024853163 0.0028259911874459896 46534531621970125e-21 0.0004685127217201417 0.0008094778191070156 13329366113332493e-21
30 0.0010569649176972037 0.0026123298232610887 4301625047791558e-20 0.00044844437968409953 0.0007439443306728686 12250250862236152e-21
31 0.001033455090298678 0.002562084280343177 42188876062820625e-21 0.0004348941015546459 0.0006933321751203731 11416839575082702e-21
