stochasticity changeprobability tsor1_meanerror tsor1_diff_std tsor1_diff_se
5 0.1 0.004943091727905766 9040582405074555e-20 28588831774478583e-21
2 0.1 0.021589798875787127 0.0003965773093451496 0.0001254087565871851
1 0.1 0.057019590305190306 0.001385025136051886 0.0004379834046508549
0.25 0.1 0.2437955167902431 0.002505002523163589 0.000792151351766564
0.14 0.1 0.3475180174574501 0.02065963293739305 0.006533149570519687
0.1 0.1 0.06450207805604782 0.0016439974213361165 0.0005198776318865624
0.01 0.1 0.014110477262711241 0.0007112103157473708 0.000224904449316921
5 0.05 0.0076750669842582065 0.00015361628497357656 48577734621000064e-21
2 0.05 0.03016257053754661 0.0009895427528308059 0.00031292089410583777
1 0.05 0.07362407916110503 0.0015824253399195267 0.0005004068301311873
0.25 0.05 0.27676975729115827 0.004600265129992564 0.0014547315651427068
0.14 0.05 0.3951879544218747 0.004794027634069901 0.0015160046489449117
0.1 0.05 0.45263357039116203 0.01629072170838424 0.0051515785326443535
0.01 0.05 0.02103548620664013 0.0016824163945193915 0.0005320267779489702
5 0.01 0.01654729208845405 0.0007724922666297089 0.0002442835037415964
2 0.01 0.050819263289149555 0.00232717881137158 0.0007359185566417549
1 0.01 0.10784633073271119 0.004406122036907522 0.0013933381285288252
0.25 0.01 0.32463090586590465 0.009103281371442827 0.002878710331514062
0.14 0.01 0.43755868006642684 0.011552309172047711 0.0036531609218124744
0.1 0.01 0.4937871350703678 0.012383605416950185 0.00391603987623617
0.01 0.01 0.03376971686848852 0.008140792498235305 0.0025743446253235834
5 0.005 0.02005550083924386 0.0009216567821729296 0.00029145346526081295
2 0.005 0.05770129870183878 0.002206492615959008 0.0006977542306773659
1 0.005 0.11597359073393279 0.006194178307102812 0.001958771168365081
0.25 0.005 0.33893225117619563 0.009957159482713713 0.0031487302990919307
0.14 0.005 0.4481354248115504 0.013745154499709554 0.0043465995009994395
0.1 0.005 0.5029121408304769 0.020097886676870465 0.006355509805486317
0.01 0.005 0.04269094356042006 0.012345456504852585 0.0039039761309875728
5 0.001 0.02677532897569974 0.0008595671220781106 0.0002718189907562835
2 0.001 0.06822052748402488 0.0020764689046122112 0.0006566371229089501
1 0.001 0.13031676773744838 0.003474828335616967 0.0010988372018641607
0.25 0.001 0.35010585990827775 0.00943073121592614 0.0029822590643175805
0.14 0.001 0.4651167744216588 0.010042497339250953 0.0031757164988213678
0.1 0.001 0.5283171709967613 0.010258511753341406 0.003244026254416628
0.01 0.001 0.05451293673623131 0.005572116711848271 0.001762058019772867
5 1e-4 0.028410127559002924 0.0026335277262442133 0.0008327945896136103
2 1e-4 0.06940888486723695 0.00806200705374665 0.0025494304802182927
1 1e-4 0.13387297041094234 0.008450056435422909 0.002672142469289991
0.25 1e-4 0.3428107674993467 0.024739413136401153 0.00782328934869175
0.14 1e-4 0.4559671453837389 0.03097470957144271 0.009795063210797695
0.1 1e-4 0.520006784883456 0.03148998365392969 0.009958007182788928
0.01 1e-4 0.11667598570056122 0.20365886899158966 0.06440258917072626
