stochasticity changeprobability tsorOriginal10_meanerror tsorOriginal10_diff_std tsorOriginal10_diff_se
5 0.1 6856388921087884e-20 14304024069118757e-21 4523329576428504e-21
2 0.1 0.00013241750378748044 24173678188568062e-21 7644388249980839e-21
1 0.1 0.0001551980258023486 29946591994780133e-21 9469943886327043e-21
0.25 0.1 9345601489777338e-20 24539005228524953e-21 775991480369195e-20
0.14 0.1 7885875270812053e-20 15659799221468002e-21 49520633240770435e-22
0.1 0.1 7219320875357232e-20 3662101687182235e-20 1158058235464131e-20
0.01 0.1 17385486434080485e-21 13411752673480417e-21 4241168586305066e-21
5 0.05 0.00016315772118644065 18651135297070705e-21 5898006848670462e-21
2 0.05 0.0002861363285164738 3645609443346899e-20 11528429300394779e-21
1 0.05 0.00031860625198002965 4025317037243421e-20 12729170141970037e-21
0.25 0.05 0.000161563072594903 4381245819229468e-20 13854715777855455e-21
0.14 0.05 0.00011274671659083635 29179709906840018e-21 9227434476859412e-21
0.1 0.05 819161368934812e-19 25577237166198277e-21 808823256994972e-20
0.01 0.05 23521522795653774e-21 1321233945061848e-20 41781085883252175e-22
5 0.01 0.00021874600558849082 41937303501426195e-21 1326173979902612e-20
2 0.01 0.0003111036883276377 5557865721025265e-20 17575514607813817e-21
1 0.01 0.0003456231543314668 783474510267502e-19 24775639411302828e-21
0.25 0.01 804650088856114e-19 4739822800605473e-20 1498863575551141e-20
0.14 0.01 7276313417077414e-20 3226071550911103e-20 10201733995550938e-21
0.1 0.01 5684337381734461e-20 41800216865319844e-21 13218389198339446e-21
0.01 0.01 10296052860710344e-21 994516995507074e-20 31449388775497964e-22
5 0.005 0.00018086289234651426 585589366261479e-19 18517961709608338e-21
2 0.005 0.0002611174180506 60213508885917774e-21 19041183399028795e-21
1 0.005 0.00022097981434681912 8802054308201617e-20 2783453970241481e-20
0.25 0.005 6164220325198498e-20 4294347756256315e-20 13579919974603548e-21
0.14 0.005 24051889327019078e-21 27969276401833854e-21 8844661793659382e-21
0.1 0.005 17389308445003685e-21 2035849796621494e-20 6437922331314488e-21
0.01 0.005 11910906546114047e-21 14250081175163595e-21 450627133558058e-20
5 0.001 8408450233932957e-20 12632167033137994e-21 39946419608407755e-22
2 0.001 7798057241247027e-20 10945638172248374e-21 3461314706838728e-21
1 0.001 6847895131025022e-20 13322361457689679e-21 4212900601834032e-21
0.25 0.001 19238750557023025e-21 60259167426479075e-22 19055621897310087e-22
0.14 0.001 12003946875647392e-21 3918597517993688e-21 12391693390342697e-22
0.1 0.001 11034816202136434e-21 3823367218549652e-21 1209054874183968e-21
0.01 0.001 75220237332859504e-22 34057341247274793e-22 10769876939098817e-22
5 1e-4 14555228329247072e-21 5062121022105059e-21 1600783222127155e-21
2 1e-4 1228615884293373e-20 34858919748005053e-22 11023358317671873e-22
1 1e-4 11228072172529539e-21 7189067789383615e-21 2273382846780388e-21
0.25 1e-4 37437920576060016e-22 3898465741907165e-21 12328031124564774e-22
0.14 1e-4 29874636801060766e-22 26174037623219136e-22 8276957445231254e-22
0.1 1e-4 14991058402408892e-22 18886976873692596e-22 597258650357949e-21
0.01 1e-4 3465785542750955e-21 4539913277854851e-21 14356466337662196e-22
