stochasticity changeprobability tsor10_meanerror tsor10_diff_std tsor10_diff_se
5 0.1 0.00015570673939438033 13357855861389236e-21 42241249178220425e-22
2 0.1 0.00028897585173050315 51073449501333084e-21 16150842838580344e-21
1 0.1 0.00029600033251594575 4394883153297336e-20 13897840814722527e-21
0.25 0.1 0.00013963700091262216 38066797549602496e-21 12037778348526036e-21
0.14 0.1 8669762019004601e-20 22320544250865038e-21 7058375844731026e-21
0.1 0.1 7671359066035443e-20 24280372108239334e-21 7678127829846065e-21
0.01 0.1 20137849500524718e-21 20193164659426364e-21 6385639349060561e-21
5 0.05 0.000809871311876205 6593867400089373e-20 20851639573415175e-21
2 0.05 0.0006345773131836124 4987623162342258e-20 15772249303613287e-21
1 0.05 0.0004966451244538372 8215214012802478e-20 25978787746187502e-21
0.25 0.05 0.0001714419581666904 42141953906050444e-21 13326455939294888e-21
0.14 0.05 0.00012890012692519243 3377299091231782e-20 10679957467909232e-21
0.1 0.05 0.00011061002529748343 9604927739644066e-21 30373448418608e-19
0.01 0.05 17132733787666132e-21 19945702546685384e-21 63073849579746735e-22
5 0.01 0.010937795304848235 0.004977214059558783 0.0015739332830418708
2 0.01 0.0017782647450266208 0.000361182656158376 0.00011421598448099094
1 0.01 0.0007912303049222646 0.00010099697213791417 3193804687363742e-20
0.25 0.01 0.0001490240157110665 4433309578043529e-20 14019355839257556e-21
0.14 0.01 0.00010157888171944962 4316970458643851e-20 13651459240976292e-21
0.1 0.01 834765394176741e-19 5582110330522207e-20 17652182794805503e-21
0.01 0.01 1902858722924979e-20 12546340537918041e-21 3967501239992315e-21
5 0.005 0.008982827773004916 0.005699578801859148 0.001802365071748844
2 0.005 0.010454224320610389 0.018791952565434627 0.005942537178861778
1 0.005 0.0009997570352497872 0.0012839139360248178 0.00040600923574701347
0.25 0.005 0.00010252459781164152 2511223829987485e-20 79411870172519e-19
0.14 0.005 6972341833727039e-20 4497179810713484e-20 14221331249179509e-21
0.1 0.005 62949495196238e-18 4158114827637921e-20 13149113627854288e-21
0.01 0.005 21751874835001162e-21 237333861507881e-19 7505155682478681e-21
5 0.001 0.017827544193380025 0.0067055568872962 0.0021204832743684987
2 0.001 0.00969387778839429 0.012861670474045798 0.004067217321252228
1 0.001 0.006296650387350633 0.017055943302295106 0.005393562847794631
0.25 0.001 5096316390113889e-20 15177252288085424e-21 4799468585335196e-21
0.14 0.001 38086229465296917e-21 13923787092937205e-21 4403088086893614e-21
0.1 0.001 3450641812281943e-20 12173078706068039e-21 3849465484767036e-21
0.01 0.001 6395243115008204e-21 31384014586939994e-22 992449682146789e-21
5 1e-4 0.005522164089739409 0.009207893334760658 0.002911791538972695
2 1e-4 0.0062699744943395695 0.018103900771317308 0.005724956097104181
1 1e-4 0.00010708586459174748 0.0002246117866804971 7102848352302415e-20
0.25 1e-4 14239285467354784e-21 24521792562250283e-21 7754471680688718e-21
0.14 1e-4 16170427569151935e-21 29301473182332902e-21 926593940545142e-20
0.1 1e-4 3092835973767834e-21 24325397318902403e-22 7692366051628485e-22
0.01 1e-4 15872626274468409e-22 1457934254705607e-21 4610392923649777e-22
