sigma changeprobability gsorOriginal10_meanerror gsorOriginal10_diff_std gsorOriginal10_diff_se
5 0.1 0.0025124996637271523 0.0007912749211759468 0.0002502231006286192
2 0.1 0.0014513385097267406 0.0004956802142718377 0.00015674784681793077
1 0.1 0.0005830059812187094 0.00011812468502582272 3735430525715855e-20
0.5 0.1 0.00035453565203605596 0.00011066437749454513 3499514887274404e-20
0.1 0.1 0.0347475674087857 0.0016197845694443389 0.000512220855823929
5 0.05 0.006458061982911267 0.0019440801610360946 0.0006147721262820987
2 0.05 0.003965562313435106 0.0008382049436089851 0.00026506367678173895
1 0.05 0.001661851194907271 0.00033662456078959965 0.00010645003284489435
0.5 0.05 0.0005735898220619789 0.00010538739737631191 3332642123863988e-20
0.1 0.05 0.0238584868537023 0.0019906996330574813 0.0006295144977723063
5 0.01 0.010846328169161678 0.0025845216507853577 0.0008172975078500037
2 0.01 0.008239847773047265 0.0013184833328557489 0.00041694103887940836
1 0.01 0.002260775262436128 0.0003770102061156842 0.00011922109524551042
0.5 0.01 0.0005348182321952899 0.0001268486285034349 4011305841394101e-20
0.1 0.01 0.008621186386931741 0.0007259594717146401 0.00022956854195908447
5 0.005 0.010755402799194857 0.0033980080197022235 0.0010745444849777335
2 0.005 0.007460731264293904 0.0012605071443753957 0.0003986073583140951
1 0.005 0.0021707393437512676 0.0004980752912473275 0.0001575052366593283
0.5 0.005 0.0004454454205880075 9500287482218986e-20 300425468701984e-19
0.1 0.005 0.004982362533595257 0.0007795660417645617 0.0002465204278497963
5 0.001 0.01017795643349105 0.0012215161725342956 0.00038627733039395864
2 0.001 0.005375880890727011 0.0006062184251477411 0.00019170309830271584
1 0.001 0.0012083229001256302 0.00014990967990471203 47405603180566344e-21
0.5 0.001 0.0002289496663872056 24492060197454564e-21 774506948139097e-20
0.1 0.001 0.0011146228564529097 0.00021695522342403135 6860726562906538e-20
5 1e-4 0.004777991948917986 0.0021741399557922594 0.000687523421228133
2 1e-4 0.001423527170001828 0.00023064696018120073 7293697295667567e-20
1 1e-4 0.0003167037978547964 0.00011598332008751702 36677146206491346e-21
0.5 1e-4 728049805914082e-19 46528326414579596e-21 14713548718584736e-21
0.1 1e-4 0.00012493522551407718 4187943015813925e-20 13243438640966563e-21
