stochasticity changeprobability pf1_meanerror pf1_diff_std pf1_diff_se
5 0.1 0.002626043909335732 9224028936876004e-20 29168940643829673e-21
2 0.1 0.008982391692643197 0.00023019795589722793 7279498533502297e-20
1 0.1 0.01987705133301764 0.00045252698618872115 0.00014310159790479176
0.25 0.1 0.058830108522103165 0.0006603368023869961 0.00020881683183754195
0.14 0.1 0.07245456975152578 0.0015160025450221598 0.00047940209808819835
0.1 0.1 0.07619814647237697 0.00227334026479299 0.000718893313331614
0.01 0.1 0.029935446972490936 0.0013100542804568988 0.00041427553846968114
5 0.05 0.003676297978162351 0.0001400608936466112 4429114350418979e-20
2 0.05 0.011539594295538616 0.00031563704889843485 9981319884529948e-20
1 0.05 0.024605788381233278 0.0003633991181357283 0.00011491689130055033
0.25 0.05 0.0676558769456705 0.0018229000003750083 0.0005764515947906818
0.14 0.05 0.0801728815066188 0.0017727586670418145 0.0005605955129656204
0.1 0.05 0.0837900157159657 0.002049123394590839 0.0006479897133643005
0.01 0.05 0.033229190975292845 0.0013340097512967671 0.00042185092349725424
5 0.01 0.006387573924109798 0.00032641731673912675 0.00010322221886162465
2 0.01 0.018321586226015277 0.0009691989411469963 0.0003064876159847994
1 0.01 0.035645781694538095 0.0018188282252616834 0.0005751639864428722
0.25 0.01 0.07940494768320086 0.004038682801994171 0.00127714364012524
0.14 0.01 0.08921332121510944 0.003540852322696642 0.0011197158198018907
0.1 0.01 0.09081718541314324 0.006114453706997567 0.0019335600361772138
0.01 0.01 0.03369042262988149 0.0028671617703406862 0.0009066761614437173
5 0.005 0.007774533429016751 0.00030067568908001915 950820014533478e-19
2 0.005 0.021298823318837652 0.0011667696348223943 0.0003689649550761675
1 0.005 0.03859889452279835 0.0029958019330133543 0.0009473557527057377
0.25 0.005 0.0858263774021373 0.007089482000281106 0.002241891055165478
0.14 0.005 0.08900937457611598 0.0050436485201533115 0.0015949417041022122
0.1 0.005 0.08835283426696161 0.006086570189304966 0.0019247424936685916
0.01 0.005 0.03810483036603396 0.008831857993533332 0.002792878723072998
5 0.001 0.010024447164213976 0.0004408786618258718 0.0001394180743136884
2 0.001 0.024467720145753595 0.000516568770321325 0.00016335338823277764
1 0.001 0.04427337356274505 0.001847091120478028 0.0005841014986583048
0.25 0.001 0.0828531976569157 0.0036878112792787837 0.001166188322338027
0.14 0.001 0.08297310446376038 0.003791013443298799 0.0011988237121141796
0.1 0.001 0.08676139829084518 0.004328661688445213 0.0013688430155797036
0.01 0.001 0.03653915111572246 0.0033891925981092046 0.0010717568039008765
5 1e-4 0.01004543759359174 0.0012709038214473835 0.00040189507627856835
2 1e-4 0.024240908911402723 0.0020355294437056216 0.0006436909286445256
1 1e-4 0.04283357447356018 0.004033805782728821 0.0012756013912181372
0.25 1e-4 0.08020813422866709 0.00959807726996954 0.003035178533139458
0.14 1e-4 0.0841264506198435 0.016211580407685902 0.005126551855924851
0.1 1e-4 0.07855365224125221 0.013566590175232254 0.004290132503579677
0.01 1e-4 0.03522608686001631 0.01587579431607582 0.0050203669703154695
