stochasticity changeprobability pf20_meanerror pf20_diff_std pf20_diff_se
5 0.1 0.00020934691326925415 19696502339083344e-21 62285809330337485e-22
2 0.1 0.0007022203840377245 4592105439836142e-20 14521512445531522e-21
1 0.1 0.001390467803456394 9249603597774525e-20 29249814822655448e-21
0.25 0.1 0.003477014884764394 0.000246751768371911 7802976047295366e-20
0.14 0.1 0.0038651982897192376 0.000249822729557974 7900088366834678e-20
0.1 0.1 0.0038572284985918456 0.00021344064774619622 6749585921396646e-20
0.01 0.1 0.0013097276491024288 0.0001567756215655109 4957680457356271e-20
5 0.05 0.00028857340090262146 37519634791099654e-21 11864750291757072e-21
2 0.05 0.0008527959748348968 0.00011228844237067403 355087232803887e-19
1 0.05 0.0017903819995843209 8663737567097011e-20 2739714376199242e-20
0.25 0.05 0.003875224143641591 0.0001134816397651737 3588604542686844e-20
0.14 0.05 0.004299916131822401 0.0004006862254400498 0.00012670810994462603
0.1 0.05 0.003979394336159618 0.00024622725677971404 7786389534390328e-20
0.01 0.05 0.0012072277963606662 0.00018862259660729227 5964770234541922e-20
5 0.01 0.0005236595080268908 0.00010956569147832032 3464771384827933e-20
2 0.01 0.0014417386153851009 0.00010599501663575517 3351856731964243e-20
1 0.01 0.0026901474197867457 0.00018045805451745027 57065847439798046e-21
0.25 0.01 0.004465182637513963 0.0003643908615794402 0.00011523050811421718
0.14 0.01 0.004416582251879712 0.0005374956435350855 0.00016997104659888273
0.1 0.01 0.004283188888993468 0.0003852105922681295 0.00012181428503897361
0.01 0.01 0.0011089549758371657 0.00029618312822946995 9366132897188392e-20
5 0.005 0.0007049959423432107 7079975842708338e-20 22388849441928373e-21
2 0.005 0.001787459590275052 0.00015180062445703714 4800357235200982e-20
1 0.005 0.002973939500848775 0.00034573908345782303 0.00010933229798657646
0.25 0.005 0.004847325875893514 0.0002869488141263053 9074118245234238e-20
0.14 0.005 0.004650237216527061 0.0004205667519888563 0.00013299488444239356
0.1 0.005 0.004566882758379204 0.0007483642045979947 0.0002366535405869917
0.01 0.005 0.0012464337761502195 0.0002788795870319628 8818946879481592e-20
5 0.001 0.0009533588799008102 49325094980091886e-21 15597964594122804e-21
2 0.001 0.0022396671889060335 0.00011770490014718605 3722155762277962e-20
1 0.001 0.003366111555471859 0.00015143794470775441 478888829451146e-19
0.25 0.001 0.004217549919776459 0.0002935618657128661 9283241298211462e-20
0.14 0.001 0.004139582576855128 0.00043084658712007627 0.00013624565374096065
0.1 0.001 0.003965024935553462 0.00037335278679807014 0.00011806451770531449
0.01 0.001 0.0012419264327683127 0.0003167665639633364 0.00010017038287095565
5 1e-4 0.0009625104707996883 0.0001300275995431848 41118337324073346e-21
2 1e-4 0.002222569296363784 0.0004160116122827212 0.00013155442278922784
1 1e-4 0.0032749904988393593 0.00036919111730931336 0.0001167484822599845
0.25 1e-4 0.0036681390544638834 0.0006173054004446108 0.0001952091077327288
0.14 1e-4 0.003159395603490044 0.0007674982528564614 0.00024270425792262496
0.1 1e-4 0.0029458737392948488 0.0006176901304202682 0.00019533077003345065
0.01 1e-4 0.0010941741535269714 0.0009972722910594493 0.00031536518871222343
