sigma changeprobability gsor1_meanerror gsor1_diff_std gsor1_diff_se
5 0.1 0.15960628090240797 0.007002949953073658 0.0022145272191882027
2 0.1 0.46744082334884124 0.014250680690884135 0.004506460919097578
1 0.1 0.25908234563672666 0.006282245202145567 0.001986620365844491
0.5 0.1 0.05334630784078652 0.000890582062675183 0.0002816267761344406
0.1 0.1 0.0008572226156569508 3689067815325334e-20 11665856739249473e-21
5 0.05 0.2446997917402304 0.016999784772596387 0.005375803961405214
2 0.05 0.5813354924866726 0.026787894351580674 0.008471075987095428
1 0.05 0.340626086915001 0.007938875252769125 0.0025104927858695396
0.5 0.05 0.058519305980576045 0.0017407421716972556 0.000550471008167122
0.1 0.05 0.0008566091517299675 47450238061744845e-21 15005082779232705e-21
5 0.01 0.5470555234348704 0.05784367539050909 0.018291776246943833
2 0.01 0.8379228512048849 0.06539238382880756 0.020678887452699413
1 0.01 0.5311752235818591 0.018117642960419865 0.005729301758864264
0.5 0.01 0.058459251667927516 0.002090991376524085 0.0006612295317586841
0.1 0.01 0.0007120493191715955 8807250567431636e-20 27850971716894343e-21
5 0.005 0.6651506340282224 0.0734205930979751 0.023217630135003938
2 0.005 0.8994473911726928 0.07746959257498966 0.024498036194223593
1 0.005 0.5596951784929657 0.03484420093786668 0.011018703821223389
0.5 0.005 0.05581488299463616 0.004479941247477656 0.001416681812576545
0.1 0.005 0.0006398442611581987 9473530844724934e-20 29957934953189733e-21
5 0.001 0.8330740979820286 0.08835971399055578 0.027941794961120193
2 0.001 0.9450386574150974 0.0919850209837867 0.02908821769271483
1 0.001 0.637791984891148 0.030748861676125745 0.009723643835402007
0.5 0.001 0.051809178884972794 0.0033105625284910816 0.001046891792643789
0.1 0.001 0.000492448289803446 7121299791367342e-20 22519527241602684e-21
5 1e-4 0.9974642145319603 0.2660588859473266 0.08413520713205175
2 1e-4 1.0225242469441274 0.26830783820075094 0.08484638827903067
1 1e-4 0.7157029241592737 0.17819007309225554 0.05634864874034103
0.5 1e-4 0.04737486292870749 0.008892022785163474 0.0028119045007230664
0.1 1e-4 0.00036661183144150904 0.00017605415722807217 556732128382104e-19
