stochasticity changeprobability tsorOriginal1_meanerror tsorOriginal1_diff_std tsorOriginal1_diff_se
5 0.1 0.0025880155320058902 6878824847810267e-20 21752754144441557e-21
2 0.1 0.008938469274988991 0.00013945827769531232 4410057960814443e-20
1 0.1 0.01981565092082484 0.0005135216382721028 0.0001623898004720938
0.25 0.1 0.05881706641810993 0.000840206984687427 0.0002656967777594486
0.14 0.1 0.07219747370447491 0.0012927642624464598 0.00040880795469984914
0.1 0.1 0.07573726813221335 0.0014650326236816614 0.0004632839937286386
0.01 0.1 0.030415386569186614 0.001396242407451855 0.00044153061732647166
5 0.05 0.003688807421476295 0.00011407615394077793 360740473164851e-19
2 0.05 0.011635343423274463 0.00026275380313218924 8309004817692024e-20
1 0.05 0.024482843829828984 0.00038198966264309567 0.00012079573765915171
0.25 0.05 0.06797935504865489 0.0021198708853507075 0.0006703620343185906
0.14 0.05 0.08071551691355043 0.003384885451081465 0.0010703947644183883
0.1 0.05 0.08263406526999176 0.0023408158348697367 0.0007402309621176962
0.01 0.05 0.032822497666248916 0.0020701304531983147 0.0006546327285783273
5 0.01 0.00644246888912819 0.0003183940107546635 0.00010068502673408831
2 0.01 0.018366839763194413 0.0009512586473529762 0.0003008143969566307
1 0.01 0.03595330051673964 0.0016344146171572923 0.000516847283128916
0.25 0.01 0.079311315935535 0.005448636917913288 0.001723010280388588
0.14 0.01 0.0873444586244385 0.004496799933929833 0.0014220129973312953
0.1 0.01 0.08839240308021731 0.002743340569227422 0.0008675204596301482
0.01 0.01 0.03441652842308632 0.003120612978378114 0.0009868244707556617
5 0.005 0.007612895378683369 0.00028643937280044436 9058008295994873e-20
2 0.005 0.021262552289822857 0.0010706009913961092 0.0003385537598046035
1 0.005 0.03946544705091812 0.003035168985160509 0.0009598047076609009
0.25 0.005 0.08324022856499627 0.006934578267969545 0.0021929061939489226
0.14 0.005 0.09322390282346986 0.007040478994005905 0.0022263949439629616
0.1 0.005 0.08978253668648285 0.006753283760062206 0.002135575836722263
0.01 0.005 0.03557237362325635 0.005860624751931948 0.0018532922727664248
5 0.001 0.00997372122543533 0.0003782812296500161 0.00011962302817832701
2 0.001 0.024571508927334756 0.0006394364046623833 0.00020220754575622424
1 0.001 0.043986332159303254 0.0013436144832855235 0.0004248882064372491
0.25 0.001 0.08267958622865483 0.0039284467855904785 0.0012422839509233048
0.14 0.001 0.08460901761569553 0.004751851593451878 0.001502667413840839
0.1 0.001 0.08352181658388436 0.004272632743532305 0.001351125107497614
0.01 0.001 0.036950842541823146 0.003041181769453391 0.0009617061170053801
5 1e-4 0.010193971184198545 0.0013170632750836213 0.0004164919771825136
2 1e-4 0.02421351143576308 0.003036115419252618 0.0009601039963995307
1 1e-4 0.04548023334806121 0.0037567497335959242 0.00118798857573939
0.25 1e-4 0.08387100084473778 0.014544903036142202 0.004599502194050771
0.14 1e-4 0.08294438147369303 0.013057626789190696 0.00412918414902739
0.1 1e-4 0.07780066166957642 0.016096145894971423 0.0050900482578479095
0.01 1e-4 0.03665726980794025 0.011621423417900602 0.003675016765378472
