sigma changeprobability pf10_meanerror pf10_diff_std pf10_diff_se
5 0.1 0.012699267385665357 0.0024492685573600063 0.0007745267242692382
2 0.1 0.0198150319740949 0.0013337852940283714 0.0004217799438767032
1 0.1 0.01473841722344521 0.000878546521176019 0.00027782080373335707
0.5 0.1 0.006091581236832668 0.00035820889068829655 0.00011327559726972972
0.1 0.1 0.00017885762476327916 9356996456425877e-21 29589420860430235e-22
5 0.05 0.017826970978319666 0.0031663508554580122 0.0010012880574469909
2 0.05 0.023880199897319137 0.001363512256207494 0.0004311804347170741
1 0.05 0.0157156729058723 0.0013383251708335552 0.00042321557897679815
0.5 0.05 0.006211115394069619 0.0002913176281723651 9212272275827087e-20
0.1 0.05 0.00016995866895631694 12755413053627713e-21 4033615774570704e-21
5 0.01 0.028676274998762623 0.005609403006503642 0.0017738489814347808
2 0.01 0.03389231614627031 0.005080286506614033 0.0016065276527120413
1 0.01 0.01914031273207429 0.0012095558151182203 0.0003824951332875102
0.5 0.01 0.005645580743949075 0.0004248864752700088 0.00013436090088540334
0.1 0.01 0.00014470556630659568 29251294299748313e-21 9250071449510474e-21
5 0.005 0.03516723724495427 0.006516781090466572 0.002060787125859017
2 0.005 0.03898160955502429 0.0034511270863709933 0.001091342208763298
1 0.005 0.021070753943052727 0.0015671740943377865 0.0004955839628118994
0.5 0.005 0.00553159494630819 0.0006269393953665176 0.00019825564442470096
0.1 0.005 0.0001227587104714859 20338962180035605e-21 6431744573293615e-21
5 0.001 0.04980007031866643 0.00542806949509624 0.0017165062902184292
2 0.001 0.047680477495404584 0.003910953748972366 0.0012367521670327084
1 0.001 0.020530540429443394 0.0014844434446174642 0.00046942223426972037
0.5 0.001 0.004261911702077946 0.00031378260696103945 99226772814229e-18
0.1 0.001 8555689459522832e-20 10592600268357845e-21 3349674319172159e-21
5 1e-4 0.06262376294428908 0.012257891893018555 0.003876285769405166
2 1e-4 0.04998712287685482 0.012972373322775664 0.004102224635797773
1 1e-4 0.016997650532008485 0.002895723388480302 0.000915708138141834
0.5 1e-4 0.002768322315413059 0.0009538855049062814 0.00030164508225235685
0.1 1e-4 51789853231181964e-21 24056178298187532e-21 7607231522138581e-21
