sigma changeprobability pf20_meanerror pf20_diff_std pf20_diff_se
5 0.1 0.005965633318720775 0.0011913565408567524 0.0003767400174446785
2 0.1 0.010140439630943198 0.0011805573611652182 0.00037332501697601026
1 0.1 0.00726236996977393 0.000715578088110952 0.00022628566021392637
0.5 0.1 0.0031714699106392117 0.0002739293440838338 8662406452608848e-20
0.1 0.1 9083838290967054e-20 1110888028285165e-20 35129363947946757e-22
5 0.05 0.00883480618708804 0.0023434348389583747 0.0007410591639298352
2 0.05 0.011048170624598851 0.0012867896213295338 0.0004069186072866913
1 0.05 0.007821655499882627 0.0006976870756077601 0.00022062802529826265
0.5 0.05 0.003026667420094427 0.00017186813337391436 5434947586631688e-20
0.1 0.05 8842521442612434e-20 9456790747354354e-21 29904998117245705e-22
5 0.01 0.015629307793266593 0.0056702298731917825 0.0017930841256013756
2 0.01 0.01691675591367727 0.0035909889832194987 0.0011355704239545783
1 0.01 0.00970734455551413 0.001214138708316628 0.00038394437136553646
0.5 0.01 0.003010129970729066 0.00032436142859213916 0.00010257208994572226
0.1 0.01 8833415434515962e-20 1467306408871371e-20 4640030277395826e-21
5 0.005 0.01989389769787029 0.005452669360184845 0.0017242854505997143
2 0.005 0.01843475236118508 0.0024235170922339857 0.0007663833959807762
1 0.005 0.010708932471917173 0.001105759540971096 0.00034967186939309383
0.5 0.005 0.002551529733692569 0.00034044264289401064 0.0001076574164192411
0.1 0.005 7344816819467258e-20 10314847252426728e-21 32618411034398227e-22
5 0.001 0.02495739705815132 0.003183787145110425 0.0010068018963713958
2 0.001 0.024448257749203763 0.002039318260790643 0.0006448890578071683
1 0.001 0.010176392852735684 0.0005967556540047331 0.0001887107073238338
0.5 0.001 0.0023477859012420734 0.00016955545438232086 53618142555291194e-21
0.1 0.001 52618608386995645e-21 3266392448816562e-21 103292398702353e-20
5 1e-4 0.033234552759563864 0.009375744990959122 0.0029648708932345615
2 1e-4 0.02437876664602593 0.002766966238375546 0.0008749915522055123
1 1e-4 0.009012409902821858 0.001989379019915994 0.0006290968832288013
0.5 1e-4 0.0016753588663316193 0.000553500722284964 0.00017503229689688039
0.1 1e-4 28508119049563453e-21 678552265286773e-20 214577066977301e-20
