sigma changeprobability gsorOriginal20_meanerror gsorOriginal20_diff_std gsorOriginal20_diff_se
5 0.1 0.00025677736634891477 0.00014538382885387376 459744034134348e-19
2 0.1 4722111014253683e-20 6637581896814703e-20 2098987694983519e-20
1 0.1 2102352369579008e-20 22394567221747852e-21 70817839634472275e-22
0.5 0.1 0.00014622501309994595 3893356927113359e-20 12311875633672383e-21
0.1 0.1 0.061230403951071835 0.0026623337052601027 0.0008419038400057329
5 0.05 0.0010888352606090667 0.000307287363369136 9717279644342618e-20
2 0.05 0.0004768429981256983 0.00023028931665163138 7282387614228958e-20
1 0.05 0.00013459350775075763 8642639158647439e-20 27330424736287232e-21
0.5 0.05 0.0002524648191712567 0.00011552703440855037 3653285600556625e-20
0.1 0.05 0.043801067446383554 0.0031730994574367655 0.0010034221527744688
5 0.01 0.003817715503205865 0.0016204539597799484 0.000512432535634352
2 0.01 0.002456649933440905 0.0006152697240015456 0.0001945653703188052
1 0.01 0.0007522437450073832 0.00017605884466034244 55674695134445586e-21
0.5 0.01 0.0003509450401981567 6618764768612059e-20 20930371965691448e-21
0.1 0.01 0.019077205858822572 0.0016602750818024024 0.0005250250800917965
5 0.005 0.004044513034207475 0.002173964811139998 0.0006874680356260185
2 0.005 0.0030783722883659047 0.0011931718334559568 0.0003773140633679918
1 0.005 0.0006598932181654117 0.0003164569138501555 0.00010007246290741761
0.5 0.005 0.00026897100080198447 6185296751074408e-20 19559625737434656e-21
0.1 0.005 0.011700851206091724 0.0013421017702173192 0.0004244098445630664
5 0.001 0.0040889510695027885 0.0010195003862980738 0.00032239432961234316
2 0.001 0.0021904315159489776 0.00030858374760469497 9758274913413645e-20
1 0.001 0.0004738214188805464 8131836863431772e-20 25715126049363994e-21
0.5 0.001 0.00016020378275128028 33880977993950785e-21 10714105981492704e-21
0.1 0.001 0.0027956437357097848 0.00048550389289920046 0.0001535298114439923
5 1e-4 0.0019313915351393182 0.001003692680786637 0.0003173954942126094
2 1e-4 0.0006489346124874705 0.000238277404814495 753499314167775e-19
1 1e-4 0.0001746349849010383 5706872638019076e-20 1804671585263391e-20
0.5 1e-4 5369897414562836e-20 3098280451202727e-20 979762305577479e-20
0.1 1e-4 0.00030653059569017997 9429054756357335e-20 29817289212533197e-21
