sigma changeprobability gsor20_meanerror gsor20_diff_std gsor20_diff_se
5 0.1 0.0015501135513041775 0.0006728005821827437 0.000212758225078477
2 0.1 0.0007842005000173957 0.0003315196752518909 0.00010483572629553306
1 0.1 0.0002497938949418799 8112015362289508e-20 2565244495911081e-20
0.5 0.1 2084810387250613e-20 17695120914670345e-21 55956885562440285e-22
0.1 0.1 5997220661603347e-23 15640100145920467e-23 494583392942405e-22
5 0.05 0.008986342741365927 0.0010720854869363358 0.00033902319851295134
2 0.05 0.0016891947946267804 0.0005280900583592856 0.00016699673941065842
1 0.05 0.00024451711719586654 0.0001310337759794946 41436518250746375e-21
0.5 0.05 28113774539274826e-21 17916816574707885e-21 5665794879553328e-21
0.1 0.05 15041054949064755e-23 2567658461153444e-22 8119648990647854e-23
5 0.01 0.31859066745290704 0.1918264413790388 0.06066084702025335
2 0.01 0.008062911731034813 0.0014747874433125561 0.0004663687385484136
1 0.01 0.0008222868698533253 0.0002487963741770553 786763215990995e-19
0.5 0.01 5717251860131063e-20 33450965657298e-18 10578124140913313e-21
0.1 0.01 -28484110784225604e-24 35633715999670774e-23 11268370405454343e-23
5 0.005 0.3327351767029759 0.1814132321473707 0.05736790112785704
2 0.005 0.007627831078863498 0.0015462188359934336 0.000488957328279359
1 0.005 0.0007949049751505503 0.00026565296677315953 8400684421842151e-20
0.5 0.005 6987020580884236e-20 42662650962237794e-21 13491114806144558e-21
0.1 0.005 8872773058770256e-23 5856726280833879e-22 18520594679602014e-23
5 0.001 0.5255251747929968 0.2877314102602809 0.09098866107948289
2 0.001 0.005419070178476779 0.0018068599498954065 0.0005713792854607201
1 0.001 0.0004262119131770626 4087105129784e-17 12924561246675527e-21
0.5 0.001 4357528489409477e-20 8533730520769044e-21 26986025383725018e-22
0.1 0.001 2838869631200102e-22 251385807170834e-21 7949517220997243e-23
5 1e-4 0.19752723427591462 0.27859140944508765 0.08809833904030226
2 1e-4 0.00106014178085176 0.00028406873196003653 8983042050295829e-20
1 1e-4 0.00017513062592452582 0.00024295997902816252 7683069139957363e-20
0.5 1e-4 14710169676259235e-21 7367828481477653e-21 23299119410929097e-22
0.1 1e-4 6874801731021299e-23 13715910040861431e-23 4337351591109526e-23
