x TLeakyIntegrator TParticleFilter1 TParticleFilter20 TSmileOriginal TSmileextended TBayesFilter TSOR1 TSOR20 TSOROriginal1 TSOROriginal20
1e-4 0.007029299490240128 0.023411183202642898 0.013583949195302246 0.029082658166103902 0.01742622227448339 0.011953508509331908 0.031558393994907195 0.011315409594431978 0.0234828235840981 0.01251287594625785
0.00011937766417144369 0.007039268376135019 0.02215435900275059 0.013239071292260027 0.02677256600100156 0.016257511626542737 0.011849796227949303 0.030680159316187172 0.011066308809250424 0.022214353257796516 0.012269635250921574
0.00014251026703029977 0.006974916092331216 0.021796836612194392 0.01299524255833899 0.026308283135246482 0.01596929625908538 0.011649936409072276 0.029632012442702707 0.01091718065637463 0.02186928710721191 0.012075725566681284
0.00017012542798525892 0.0068456856594509355 0.022612142484092747 0.01334135633376053 0.02788617854811242 0.0166541534736262 0.011944257843897077 0.03220182650549422 0.011209370945957147 0.022666748209601066 0.01240179843511272
0.0002030917620904735 0.0067168048684969625 0.022159659910512042 0.012964893862886295 0.027284554115277918 0.01625677801473912 0.011492771630374893 0.031017951184026057 0.010851184582172105 0.022182116551331996 0.011958835700966598
0.00024244620170823283 0.006580716583746532 0.023110731502556485 0.013237131034183554 0.029487215321820658 0.017205768945862263 0.011651402685137499 0.03597728608320259 0.011123895940053061 0.02316261343670911 0.01215719658543541
0.0002894266124716752 0.006538587842093674 0.021824220703744814 0.012546243995740534 0.02761964744766719 0.016231116760167533 0.011035703448276797 0.03343762212438166 0.01062707619107906 0.021888357125527287 0.011497280963062155
0.0003455107294592218 0.006432264411222615 0.019373735111254106 0.01148665761909527 0.023491386368822365 0.014206039176471943 0.010457532137533813 0.028964873580871263 0.009923070990875728 0.01941119919126722 0.010751875489644758
0.0004124626382901352 0.006343789073872839 0.01898402806162287 0.011242401912990741 0.023036188476088 0.013917484140611544 0.010273694943104223 0.028808306461015662 0.009722922366625723 0.01900409830512144 0.010613236123495162
0.0004923882631706741 0.006023874960324485 0.018016679904449294 0.010976350056727043 0.021757503129728607 0.013156060596127173 0.010040900344998676 0.02775126946985532 0.009561816868013715 0.018039103808123888 0.010319006035129679
0.0005878016072274912 0.005824489167788846 0.017851714304093977 0.010981516199197275 0.021608181470195095 0.012977369052042187 0.010023793219331684 0.02765587052083812 0.009575390459977148 0.017891837280144963 0.01026961732647642
0.000701703828670383 0.005632236648881368 0.018336629108618115 0.010565980944106086 0.02245573517209804 0.013199615964288473 0.009677627912051397 0.029034017108409884 0.009226160485474809 0.018295299808107332 0.009912413709052544
0.0008376776400682916 0.0054754938349409095 0.017487911043712237 0.009979684686711234 0.02111135812435984 0.012385301762151617 0.009211132281519362 0.027344491513822507 0.008751830862990325 0.017477506425338397 0.009451583127055315
